critica,nota,url
"Bueno, bajo mi gusto, otro fracaso más de DC. Empezó el año con Aves de Presa y acaba el año con Wonder Woman. Dos películas malas con ganas. 
 
En esta película, destacan los 37 slow motions que le han metido, junto con unos efectos especiales no de segunda, sino de tercera categoría. Te ves las de Spiderman de Sam Reimi que son de hace 15 años, y piensas que son mucho más modernas que éstas. 
 
Mención aparte, los minutos que sale Wonder Woman como tal. Si hubiera tenido cronómetro en mano, yo creo que no llegan a los 15 minutos totales en pantalla. No olvidemos que semejante película dura nada más y nada menos que 150 minutos. 
 
Que está ambientada en los 80, te lo tienes que creer porque lo pone en el título y porque te dan 4 pinceladas de ello. Por lo demás, 0 relevancia tiene en la película, no se nota que esté en los 80 como tal. Más bien parece una acción totalmente comercial con el tirón que existe ahora. 
 
Respecto al argumento, poco que decir. Poco se puede decir sin spoiler, pero vamos, es que parece que hacen lo primero que se les ocurre en la cabeza sin pensarlo dos veces. La forma en la que resuelven la película es cuanto menos, nefasta. 
 
Escenas de acción, yo he contado 3 en total. La batalla final que pensaba que después de 2 horas de películas iba a levantar algo el ánimo, la hacen de noche. Dos sombras peleando sobre la noche en la que se distingue más bien poco, y la villana apenas luce, básicamente porque no se la distingue. 
 
Lo demás, en spoilers, que hay para rato.",3,https://www.filmaffinity.com/es/reviews/1/420801.html
"Es tan terrible que podría funcionar como parodia, tan sobreactuada que me recordó momentos de Starship Troopers, tan antifeminista que parece hecha por el Incelfandom de DC, es tan mala que te ríes, luego te acuerdas que has pagado la entrada de cine y ya te ríes menos.  
La primera entrega de la saga estaba bien, sin ser una joya, Wonder Woman era un peli muy disfrutable de superheroes, una superheroina fresquita que molaba, unos cuantos momentos divertidos, algo de acción que estaba bien, un buen punto de partida.  
La trama es terriblemente poco original, tan poco original que ellos mismos hacen referencia a la idea de la peli que plagian. 
Las leyes del universo van cambiando según necesidades del guion, a cada escena.  
La trama romántica es bochornosa si tienes más de 5 años, y probablemente si tienes menos también.  
Los 80 porque tocan, porque los de los 80 somos cuarentones y treintaañeros nostálgicos que nos tragamos cualquier mierda que referencie mínimamente nuestra infancia y nos distraiga del horrible mundo. 
Hay un apocalipsis con vacas, eso es con diferencia lo mejor de la película. También hay gente tapándose con una manta térmica el 4 de julio para que nos demos cuenta de que la cosa esta muy mala.   
Sigo en Spoilers",1,https://www.filmaffinity.com/es/reviews/1/420801.html
"Tengo una tradición desde hace más de 5 años. En cada 31 de diciembre voy al mismo cine a ver el blockbuster o peliculón del que todo el mundo habla. Es una gozada porque la sala prácticamente está vacía. Muy relajado, oye. Este 2020 no iba a ser el año que rompiese la tradición: me decidí por WW84, un film liderado por la belleza impresionante de Gadot y acompañada de las críticas más dispares entre la prensa y los usuarios de Filmaffinity. Bueno, ya había sucedido con la primera y no me disgustó. Todo correcto.  
 
Ya dispongo de mis palomitas, mi bebida y, como en cada año, somos 10 personas aproximadamente distribuidos por la sala. Bien.  
 
Se apagan las luces y comienzan los malditos anuncios. Pero bueno. Eso no iba a joderme la tarde, joder. Más publicidad (hubo uno que sí me gustó ). Nadie habla, no hay luces de móviles. Dios, estaba todo encauzado. Plan perfecto para despedir un año horrible.  
 
Comienza la película... cruzo dedos",2,https://www.filmaffinity.com/es/reviews/1/420801.html
"No entiendo como nadie tiene la cara de presentar esta película. Y no entiendo algunas críticas que la ponen,no bien, muy bien. Es un claro ejemplo de como el 4º poder intenta manipular de manera descarada. La película es  una BOSTA en mayúsculas. No aporta absolutamente NADA. Ni guión, ni personajes, ni historia. Es una tomadura de pelo como si quien la hace le sude la poll* lo que salga porque la gente va a ir a verla igual. Ahorraros la pasta, son 150 minutos insufribles.",1,https://www.filmaffinity.com/es/reviews/1/420801.html
"La primera entrega de Wonder Woman (2017) no me pareció ninguna maravilla (nunca mejor dicho), al contrario de lo que muchos se apresuraron a afirmar, cuando no dejaba de ser la respuesta a la primera parte de Capitán América. Eso sí, fue un espectáculo más que correcto y entretenido, con una sorprendente Gal Gadot (seguramente lo mejor del film), haciendo el personaje totalmente suyo, y que dejaba con ganas de ver más de la gran superheroína de DC. 
 
Había muchas expectativas en la esperada secuela, y más cuando se supo que iba a estar ambientada en los fabulosos e irrepetibles años 80, aparte de contar con el regreso de Steve Trevor (Chris Pine). Todos conocemos la horrible situación que nos ha tocado vivir, por lo que, después de infinidad de retrasos, por fin Warner ha decidido estrenarla en cines, en plena época navideña y, eso sí, a la vez que en la plataforma HBO MAX, al menos en Estados Unidos. 
 
Las críticas han sido bastante entusiastas hasta el momento, asegurando algunas voces que es una segunda parte superior a la primera. Una vez vista me sorprenden tales opiniones, porque estamos ante un despropósito que coquetea con el desastre absoluto en no pocas ocasiones, siendo un producto insípido y fallido, que se queda en un quiero y no puedo, y donde hay poco que destacar. 
 
Patty Jenkins repite tras las cámaras, con una dirección que le queda grande, siendo excesiva y demasiado grandilocuente. Las escenas de acción se pueden contar con los dedos de una mano, no entendiéndose los 200 millones de presupuesto, en una labor que no justifica esa inversión ni por asomo, como en el cacareado enfrentamiento final entre la protagonista y Minerva, oscuro y confuso, no vaya a ser que seamos conscientes de los mediocres efectos especiales de la villana. ¿Qué tienen en contra del maquillaje los blockbusters actuales? No se sabe, pero se ahorrarían un dinero… 
 
La secuela también acarrea uno de los grandes males del cine de superhéroes, que no es otro que no saber diversificar la escasa acción, con una hora en la que se nos presentan a los excesivos y caricaturescos villanos y se recupera la trama romántica de la protagonista, sin que ocurra nada más. Debe ser cosa mía, pero si voy a ver una cinta de estas características, espero set pieces a la altura de las circunstancias, y no unas subtramas sin garra. Recuerda a la también fallida secuela de Ant-Man (una de las peores películas del universo Marvel), la cual se centró más en la comedia que en la acción. La diferencia es que la de Marvel tuvo los suficientes elementos para que la experiencia mereciese la pena, cosa que aquí no llega a ocurrir. 
 
No hay nada que sorprenda, a pesar de que la película tiene un buen inicio (en un flashback que en realidad tampoco aporta mucho al devenir de los acontecimientos) y un clímax (sin contar la decepcionante pelea) que resulta bastante emotivo, siendo el resto un cúmulo de momentos que navegan entre lo bochornoso y lo insulso, dejando la sensación de que han sido conformistas, creyendo que el público iba a abrazar su producto sin más. Veremos en que sitio queda esta decepcionante secuela con el tiempo, pero me hace gracia que se alabe a Jenkins cuando este trabajo demuestra que los blockbusters (la primera entrega era más comedida) la superan. Recordar que le han dado una de las nuevas películas de Star Wars, anunciándolo a bombo y platillo como la primera película de la saga dirigida por una mujer (y mira que han tenido tiempo para ello…). Se masca la tragedia… 
 
Jenkins también se encarga del guion, algo que no hizo en la primera parte, y vaya si se nota, ya que ambas producciones no tienen nada que ver la una con la otra. Y es que la película tiene varios problemas, siendo el más sangrante su insustancial primera mitad, siendo un producto bobalicón, heredero de la peor época de DC (la de las secuelas del Superman de Reeve o Batman & Robin, sin ir más lejos) intentando ser una comedia divertida pero errando el tiro, ya que las risas brillan por su ausencia. En su momento se le dieron muchos palos a Green Lantern, tildándola de caos absoluto. Pues, sinceramente, no veo que haya mucho distanciamiento entre ambos films, siendo los críticos mucho más generosos con la cinta que nos ocupa, cuando hace aguas en no pocas ocasiones. 
 
Por fortuna, todo mejora en la segunda mitad (cuando se ponen más serios), aunque sin lograr salvar de la quema un producto mal escrito y peor ejecutado, no teniendo muy claro qué quiere ser (¿una comedia? ¿un blockbuster con mensaje? ¿una secuela tontorrona?), y con un resultado que dista mucho del esperado, a años luz de los logros de la primera parte. También conviven varias historias en el film, como la subtrama del villano codicioso, que da para una comedia con mensaje (a lo Jim Carrey), el del patito feo con gafas (siempre las llevan….) que se vuelve sexy (da para una comedia romántica) o la que realmente interesa, que es la que sigue a la protagonista y su interés romántico, aunque ésta tampoco dé en la diana (de nuevo, nunca mejor dicho…). 
 
Y es que no ayuda que Diana sea secundaria en su propia historia, con un excesivo e inexplicable protagonismo de los villanos. Eso es algo con lo que ya jugó el señor Tim Burton con sus (sobrevaloradas) entregas de Batman, pero es que los villanos de esta secuela no tienen el suficiente carisma o interés para soportar el peso del film, siendo bastante extraño que Wonder Woman aparezca tan poco. Algo me dice que fue por asuntos personales de Gadot, porque otra explicación se escapa a mi comprensión. Os juro que creo que sale más el cotizado Pedro Pascal que Gal Gadot. ¿Algún alma samaritana que cuente los minutos? Creo que nos llevaríamos todos una sorpresa… 
 
Sigue en spoilers sin spoilers 
 
Más críticas: ocioworld.net",4,https://www.filmaffinity.com/es/reviews/1/420801.html
"No recuerdo haber visto un film de un super héroe que sea tan pero tan difícil de digerir.  
El comienzo pareciera prometer que veremos una película de acción y buena trama y antes de la mitad ya se puede prever que nada de eso pasará. Es predecible, es sosa, casi se podría decir que hasta evangelizadora con mensajes de bondad, verdad y amor.  
Es aburrida y extremadamente larga.  
La poca acción es mala, las actuaciones, los diálogos y los efectos son pésimos.  
Transita por partes sin sentido alguno para la trama donde uno se pregunta en que momento cambiaron la película que estas viendo. Ni hablar del final super naif. Realmente es un film donde en varios momentos lo ridículo me causo nauseas.  
Una muestra más de lo que es malgastar el dinero.",2,https://www.filmaffinity.com/es/reviews/2/420801.html
"Por si le faltara poco a Warner/DC después del fracaso que ha supuesto el universo de la Liga de la Justicia, y el retraso del estreno de su último título por la pandemia… resulta que la apuesta ha sido todo un fiasco: cuando la primera parte de Wonder Woman nos descubría un fascinante universo de las Amazonas, una historia de amor, el nacimiento de una superheroína… ahora todo se reduce a fuegos artificiales con bastante poca enjundia (eso sí, muy bonitos), postureo de salón (Gal Gadot -como no podía ser de otra forma- sale guapísima y seductora…) y el claro intento de rentabilizar la nostalgia ochentera en toda su expresión.  
 
A su guión manifiestamente ridículo, que tiene aproximadamente el nivel intelectual de un niño de primaria, se salpican algunas secuencias de acción muy vistosas (especialmente el teaser inicial en una olimpiada amazónica... y otra en un desierto -por cierto, ambas se pueden ver en el tráiler-) y poco más. Es que no hay más, señores. Y es una lástima, porque muchos hemos vuelto a los cines después de esta tremenda situación que vivimos con el covid19 acechando, y deseamos resarcirnos con ese espectáculo maravilloso que es el cine. Y como tal, al menos desde mi modesto parecer, ha resultado decepcionante.  
 
Esa decepción nace, desgraciadamente, por el mismo error que ha cometido DC cómics en sus inicios -aunque luego lo subsanó con el tiempo…-, que es supeditar todo a los superpoderes y olvidarse de un buen trabajo en el guión. Ese fue el acierto desde el principio en los cómics Marvel (aunque luego con la compra de Disney se han invertido las tornas), y de hecho así pasó en la primera parte de Wonder Woman. Pero ahora todo gira en torno a que Diana Prince, alias Wonder Woman, tiene unos poderes fantásticos, y toda la historia -parca historia- se articula alrededor de enseñar esos maravillosos poderes: de buenas, en departamento de arqueología donde Diana trabaja, aparece una reliquia ancestral que tiene la propiedad de conceder el deseo que se le pida, y un siniestro personaje luchará para conseguirla y llevar a cabo sus planes, que pueden acabar con la humanidad misma.  
 
Como sucede en todas las películas fantásticas, hay que guardar una escrupulosa coherencia en las bases que se sientan en este tipo de películas: si resulta que un personaje puede volar, pues tendrá que volar siempre, y no puede dejar de volar de buenas a primeras y sin explicaciones. Si no tiene superfuerza, pues no puede tenerla de repente, porque entonces la ya comprometida credibilidad de la historia, se va a hacer puñetas, y desconectamos con la historia. Está bien que el espectador tenga unas grandes tragaderas y consienta un universo de licencias fantásticas. Pero si encima empezamos a cambiar esas licencias, pues apaga y vámonos.  
 
Es descorazonador que una de las películas más esperadas por la industria y público, aquella que podría hacer que medio se recuperara la industria del cine, tal y como la hemos conocido, resulte ser claramente un artificio con poco calado, un juguete muy lustroso y llamativo, pero de muy poca calidad. Porque entre la ""seriedad"" y ""negrura"" que DC intentó imprimirle al ecosistema de películas de La Liga de la Justicia y el desfase chillón y vacío de esta segunda entrega de Wonder Woman, podría haber habido un término medio. De hecho, creo que la fórmula de esa primera entrega de la superheroína era la adecuada, propia para todos los públicos desde los niños a los adultos. Pero ahora, en un vano intento de captar desesperadamente el cine familiar, al estilo Disney, se ha optado por aligerar tanto la historia, hacerla tan simple y obvia, que ha perdido muchísimo interés.  
 
Podríamos decir, sin temor a equivocarnos, que Patty Jenkins, la directora, ha creído poder replicar el buen hacer del guión de la primera parte -de Allan Heinberg- pero no ha sido así: a pesar de meter elementos clásicos del personaje -como el famoso avión invisible o la famosa archienemiga de Wonder Woman, la peligrosísima Cheetah…, o incluso un guiño nostálgico a la mismísima primera Wonder Woman televisiva, - es una sucesión demasiado infantil de sucesos previsibles e intentos tópicos de ridiculizar a la década de los 80 del pasado siglo. Todo ello, además, bañado con una ingenuidad tan naïf, que resulta bochornosa en muchos momentos, cuando además existen momentos en los que los actores quedan reducidos a verdaderos mamarrachos -y ahí podemos incluir desde la preciosa Robin Wright hasta el sólido y exitoso Pedro Pascal -que ha arrasado con la serie The Mandalorian, aunque no se le vea la cara-.  
 
Un enorme paso atrás de DC, que parecía que iba a levantarse de la mala aceptación de sus últimas propuestas en cine, pero que se ha quedado corto con esta nueva incursión super heroica, que definitivamente no ha sido lo que todos esperábamos. Qué pena.",4,https://www.filmaffinity.com/es/reviews/2/420801.html
"Estúpida película, repleta de guiños infantiles y superficiales. Efectos especiales tan cutres que dan vergüenza ajena. Interpretaciones sosas y muy desafortunadas. Escenas de acción pésimamente coreografiadas. Y por último, y no menos importante, un guión y una historia patéticos y lamentables.",1,https://www.filmaffinity.com/es/reviews/2/420801.html
"Es la película de super héroes mas mala que he visto que ya es un decir (escuadrón suicida, Batman y Superman). 
Pocas cosas se salvan, Pascal pasado de rosca, Pine sin gracia, Wilder insufrible y Wonder Woman me la han cambiado. 
Todo lo  que nos contaron en la primera parte queda en agua de borrajas y el feminismo se ha evaporado. 
Le caso un (2) por que al menos las cuatro escenas de acción valen la pena. 
Mas en spoilers 
Saludos y besitos.",2,https://www.filmaffinity.com/es/reviews/2/420801.html
"Esta película parece ser una cinta al estilo de Netflix, buenos actores, buen dinero pero un pésimo argumento y libreto. Lastima el desperdicio de tiempo para los actores y la marca ""Mujer Maravilla"". Este fiasco es similar al de ""Linterna Verde"", pero al igual esta última creo que fue un poco mejor. Creo que la comunidad de admiradores de super heroes esperábamos algo mejor y más espectacular que la cinta anterior. Se quedaron muy cortos. Solo rescato la ambientación de la época y el hermoso vestuario de ""Diana"".",1,https://www.filmaffinity.com/es/reviews/2/420801.html
