"codigo","id_pop","crm","clasificacion_sitio","categoria_planificacion","sistema_energia","pe_3g","mpls","olt","olt_3play","core","panel_solar","latitud","longitud"
TA224,2,Norte,A,A,ONGRID,SI,SI,NO,SI,SI,NO,-18.47078,-70.29408
ESTTA009,3,Norte,A,nan,ONGRID,NO,NO,NO,NO,SI,NO,-20.256711,-69.785729
ESTTA016,4,Norte,A,nan,ONGRID,NO,NO,NO,NO,SI,NO,-20.251709,-69.786013
ESTTA052,5,Norte,A,A+,ONGRID,SI,SI,NO,SI,SI,NO,-20.235105,-70.136744
TA164,6,Norte,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-20.218389,-70.140694
ESTTA047,7,Norte,A,A+,ONGRID,SI,SI,SI,NO,SI,NO,-20.215639,-70.152417
ESTTA015,8,Norte,B2,nan,ONGRID,NO,SI,NO,NO,NO,NO,-20.252709,-69.786013
ESTTA013,9,Norte,A,nan,OFFGRID,NO,NO,NO,NO,SI,SI,-19.003214,-70.037408
ESTTA012,10,Norte,B2,nan,OFFGRID,NO,SI,NO,NO,NO,SI,-20.98164,-69.674683
ESTAN009,11,Norte,A,nan,ONGRID,NO,SI,NO,NO,SI,NO,-22.2828297,-69.5674199
ESTAN056,12,Norte,A,nan,ONGRID,NO,SI,SI,SI,SI,NO,-22.456014,-68.928072
ESTAN014,13,Norte,A,nan,ONGRID,NO,NO,NO,NO,SI,NO,-23.102,-70.45
ESTAN060,14,Norte,A,nan,ONGRID,NO,NO,NO,NO,SI,NO,-23.3308023,-69.8410082
ESTAN005,15,Norte,A,nan,ONGRID,NO,SI,NO,NO,SI,NO,-23.7509873,-70.3518617
ESTAN053,16,Norte,A,nan,ONGRID,SI,SI,SI,SI,SI,NO,-23.652149,-70.400544
AN205,17,Norte,A,A,ONGRID,SI,SI,NO,NO,SI,NO,-23.610089,-70.377883
ESTAN002,18,Norte,A,nan,OFFGRID,NO,SI,NO,NO,SI,SI,-24.569401,-69.798132
ESTAN019,19,Norte,A,nan,OFFGRID,NO,NO,NO,NO,SI,SI,-25.294276,-69.86327
ESTAT007,20,Norte,A,nan,ONGRID,SI,SI,NO,NO,SI,NO,-26.390249,-70.04753
ESTAT036,22,Norte,A,nan,ONGRID,SI,SI,NO,SI,SI,NO,-27.364621,-70.329416
ESTAT009,23,Norte,A,nan,OFFGRID,NO,NO,NO,NO,SI,SI,-28.5736,-70.788027
